Date,AAPL,MSFT,NVDA,JPM,XOM,KO,JNJ,WMT,DIS,SPY
2021-09-10,145.4264,284.3352,22.4045,138.8555,45.5948,47.9641,145.9262,45.7911,178.516,416.3219
2021-09-13,145.9926,285.566,22.0795,141.0615,46.7689,48.3608,144.9036,45.5306,179.3498,417.3875
2021-09-14,144.5966,288.2582,22.1692,138.5996,46.1016,48.3956,144.0297,45.292,176.8483,415.1349
2021-09-15,145.4849,293.0948,22.2679,139.5614,47.6558,48.5607,144.5715,45.3705,178.7971,418.6024
2021-09-16,145.2506,293.4794,22.1692,139.4996,47.149,48.1001,144.3967,45.5212,177.7597,417.9388
2021-09-17,142.5856,288.3352,21.8284,139.1378,46.5915,47.3093,143.986,45.427,177.8858,413.8677
2021-09-20,139.5398,282.9794,21.0439,134.9729,45.3499,46.9791,143.1644,44.8024,173.1737,406.9668
2021-09-21,140.0181,283.4602,21.1765,134.9905,45.3076,46.9704,143.7937,44.8903,165.9601,406.5824
2021-09-22,142.3806,287.0948,21.8692,137.5759,46.6337,47.0399,143.2693,44.7867,168.3646,410.5485
2021-09-23,143.3373,288.0371,22.4085,142.2262,48.2133,46.9617,144.0821,44.8118,170.8855,415.5367
2021-09-24,143.4251,287.8352,22.0088,143.8675,48.644,46.8314,143.6451,44.9374,170.6431,416.221
2021-09-27,141.912,282.8545,21.5891,147.3442,50.0884,46.588,142.6051,44.6486,172.8343,415.0303
2021-09-28,138.5343,272.6141,20.6313,146.55,50.6121,45.7451,142.2905,44.0993,169.2082,406.6667
2021-09-29,139.4324,273.0756,20.4499,146.4353,50.5783,46.0232,143.348,44.0805,167.4242,407.3512
2021-09-30,138.1341,271.0756,20.6482,144.4411,49.683,45.5973,141.1456,43.7478,164.021,402.3723
2021-10-01,139.2567,277.9794,20.6741,147.4766,51.4652,46.0753,140.2454,43.0164,170.6528,407.1543
2021-10-04,135.8302,272.2198,19.6674,147.3177,52.1325,46.0492,139.1529,42.6021,168.1804,401.9036
2021-10-05,137.7534,277.6526,20.3841,149.7235,52.048,46.1275,139.4675,42.8815,169.2954,406.0854
2021-10-06,138.6221,281.8352,20.6323,150.0431,51.0936,46.6749,139.7559,43.1953,170.1389,407.7731
2021-10-07,139.8815,283.5083,21.0061,150.9929,51.2372,46.8227,141.0057,43.7038,172.3011,411.2986
2021-10-08,139.5007,283.5083,20.7629,151.1083,52.521,47.0312,140.6474,43.8357,171.3606,410.5485
2021-10-11,139.4129,282.9122,20.6273,147.9303,51.9973,47.1268,140.0531,43.7948,168.2386,407.5762
2021-10-12,138.1438,281.614,20.6034,146.794,51.7271,47.1268,137.8158,43.7478,167.8605,406.5729
2021-10-13,137.5581,284.9122,20.8705,142.9235,51.5835,47.1355,139.1354,43.4308,167.6956,408.0356
2021-10-14,140.3403,291.1044,21.6749,145.1162,52.369,47.4571,139.9308,43.9016,169.1015,414.899
2021-10-15,141.3946,292.5082,21.7905,147.9036,52.8673,47.3441,140.9708,44.115,171.0891,418.0588
2021-10-18,143.0639,295.4698,22.1493,147.8504,52.842,46.8748,139.9395,44.4697,165.931,419.2965
2021-10-19,145.2214,296.3737,22.2171,149.6436,53.636,47.0573,143.2169,45.4144,165.9698,422.5313
2021-10-20,145.7095,295.5851,22.0307,151.6587,53.9316,47.4744,143.1382,45.8256,165.359,424.1909
2021-10-21,145.9242,298.8063,22.6178,150.4692,52.9518,47.2311,142.8061,46.0799,166.125,425.2973
2021-10-22,145.1531,297.2679,22.6517,152.4932,53.315,47.318,143.0858,46.5601,164.2634,424.8566
2021-10-25,145.1042,296.2774,23.0902,151.7475,54.3539,47.1268,143.4004,47.0999,166.7746,427.1351
2021-10-26,145.768,298.1812,24.6361,152.1558,55.6125,47.3354,144.8599,46.6888,166.8036,427.5195
2021-10-27,145.3092,310.7389,24.371,148.9867,54.1681,48.2479,143.1033,46.3058,164.3895,425.6255
2021-10-28,148.9407,311.8735,24.8594,151.2326,54.3202,48.6998,142.3254,46.5946,164.5155,429.7324
2021-10-29,146.2366,318.8638,25.4834,150.8154,54.4553,48.9865,142.3517,46.8991,163.9241,430.6043
